Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / Mpn,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,Seo Title,Seo Description,Google Shopping / Adwords Grouping,Google Shopping / Adwords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
2da0153,,,,,,,,Varsity Jacket-Grey,,4XL,,,2DA0153-Varsity Jacket-Grey-4XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Grey.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Grey,,5XL,,,2DA0153-Varsity Jacket-Grey-5XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Grey.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Grey,,6XL,,,2DA0153-Varsity Jacket-Grey-6XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Grey.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Blue,,S,,,2DA0153-Varsity Jacket-Blue-S,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Blue.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Blue,,M,,,2DA0153-Varsity Jacket-Blue-M,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Blue.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Blue,,L,,,2DA0153-Varsity Jacket-Blue-L,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Blue.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Blue,,XL,,,2DA0153-Varsity Jacket-Blue-XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Blue.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Blue,,2XL,,,2DA0153-Varsity Jacket-Blue-2XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Blue.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Blue,,3XL,,,2DA0153-Varsity Jacket-Blue-3XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Blue.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Blue,,4XL,,,2DA0153-Varsity Jacket-Blue-4XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Blue.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Blue,,5XL,,,2DA0153-Varsity Jacket-Blue-5XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Blue.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Blue,,6XL,,,2DA0153-Varsity Jacket-Blue-6XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Blue.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Pink,,S,,,2DA0153-Varsity Jacket-Pink-S,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Pink.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Pink,,M,,,2DA0153-Varsity Jacket-Pink-M,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Pink.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Pink,,L,,,2DA0153-Varsity Jacket-Pink-L,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Pink.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Pink,,XL,,,2DA0153-Varsity Jacket-Pink-XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Pink.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Pink,,2XL,,,2DA0153-Varsity Jacket-Pink-2XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Pink.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Pink,,3XL,,,2DA0153-Varsity Jacket-Pink-3XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Pink.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Pink,,4XL,,,2DA0153-Varsity Jacket-Pink-4XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Pink.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Pink,,5XL,,,2DA0153-Varsity Jacket-Pink-5XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Pink.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Pink,,6XL,,,2DA0153-Varsity Jacket-Pink-6XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Pink.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Green,,S,,,2DA0153-Varsity Jacket-Green-S,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Green.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Green,,M,,,2DA0153-Varsity Jacket-Green-M,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Green.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Green,,L,,,2DA0153-Varsity Jacket-Green-L,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Green.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Green,,XL,,,2DA0153-Varsity Jacket-Green-XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Green.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Green,,2XL,,,2DA0153-Varsity Jacket-Green-2XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Green.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Green,,3XL,,,2DA0153-Varsity Jacket-Green-3XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Green.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Green,,4XL,,,2DA0153-Varsity Jacket-Green-4XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Green.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Green,,5XL,,,2DA0153-Varsity Jacket-Green-5XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Green.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Green,,6XL,,,2DA0153-Varsity Jacket-Green-6XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Green.jpg,kg,,
