Handle,Title,Body (Html),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Sku,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / Mpn,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,Seo Title,Seo Description,Google Shopping / Adwords Grouping,Google Shopping / Adwords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost Per Item,Collection,Available On Listing Pages,Available On Sitemap Files
HVKA10070,HVKA10070 AaB Fodbold,"<p>When you have your correct measurements, you can easily Find Your Size</p>
<ul>
<li>Because of lighting and display, there will be a little color difference, please understand.</li>
<li>Item Material: Tixi (Cotton 35% + PE 65%). We won't accept changing/refunding request if you just do not like this material</li>
</ul>",,Superliga,"sc-10310642-size-chart-285 , AaB Fodbold",TRUE,Style,Normal Hoodie,Size,S,HVKA10070-Normal Hoodie-S,,,,continue,manual,54.99,0,TRUE,FALSE,,http://Khanh.grexpress.online/Khanh/HVKA10070/HVKA10070-Hoodie.jpg,1,,,,,,,HVKA10070 AaB Fodbold,HVKA10070 AaB Fodbold,,,,,,,,,,,kg,,0,,TRUE,TRUE
HVKA10070,,,,,,,,Normal Hoodie,,M,HVKA10070-Normal Hoodie-M,,,,continue,manual,54.99,0,TRUE,FALSE,,,2,,,,,,,0,0,,,,,,,,,,,kg,,0,,,
HVKA10070,,,,,,,,Normal Hoodie,,L,HVKA10070-Normal Hoodie-L,,,,continue,manual,54.99,0,TRUE,FALSE,,,,,,,,,,0,0,,,,,,,,,,,kg,,0,,,
HVKA10070,,,,,,,,Normal Hoodie,,XL,HVKA10070-Normal Hoodie-XL,,,,continue,manual,54.99,0,TRUE,FALSE,,,,,,,,,,0,0,,,,,,,,,,,kg,,0,,,
